% Model,verification_2d_nozzle_tapered.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 8 2021, 14:24"
% Dimension,2
% Nodes,13231
% Expressions,1
% Description,"Current density, phi component"
% Length unit,m
% R,Z,mef.Jphi (A/m^2) @ freq=2E6
6.500000000000001E-4,0.0025,-4.111841514033117E7-4.6465470136121765E7i
6.6E-4,0.0025,-4.2010756020331606E7-4.8144791028146215E7i
6.7E-4,0.0025,-4.288551246494049E7-4.997120631993968E7i
6.8E-4,0.0025,-4.3737589674539685E7-5.1970724720188044E7i
6.900000000000001E-4,0.0025,-4.450331027912616E7-5.4197813801885344E7i
7.0E-4,0.0025,-4.5173078164263256E7-5.665354931074346E7i
7.1E-4,0.0025,-4.5746893329950854E7-5.933793124676293E7i
7.2E-4,0.0025,-4.6177345605214305E7-6.231290479134465E7i
7.300000000000001E-4,0.0025,-4.629804160955983E7-6.565285293026202E7i
7.4E-4,0.0025,-4.609824636273641E7-6.935559800141548E7i
7.5E-4,0.0025,-4.557795986474443E7-7.342114000480326E7i
7.6E-4,0.0025,5.204640539770898E-4-2.970341800374516E-4i
7.700000000000001E-4,0.0025,5.514350597956357E-4-2.8949945294278145E-4i
7.8E-4,0.0025,5.830652306704524E-4-2.8166973628784695E-4i
7.9E-4,0.0025,6.148821165410688E-4-2.738739907855655E-4i
8.0E-4,0.0025,6.462326237965528E-4-2.6667489899200004E-4i
8.100000000000001E-4,0.0025,6.77513142590472E-4-2.5967187276267615E-4i
8.2E-4,0.0025,7.08677227555268E-4-2.528447706466333E-4i
8.3E-4,0.0025,7.39356997920979E-4-2.464097043894231E-4i
8.4E-4,0.0025,7.695447315452922E-4-2.4032543928176746E-4i
8.500000000000001E-4,0.0025,7.994216612084732E-4-2.3443119319215404E-4i
8.600000000000001E-4,0.0025,8.288370169478326E-4-2.2883121107663933E-4i
8.7E-4,0.0025,8.577496730271678E-4-2.2348247351779347E-4i
8.8E-4,0.0025,8.861596294464798E-4-2.183849805156165E-4i
8.900000000000001E-4,0.0025,9.140851242952153E-4-2.1350098336705964E-4i
9.000000000000001E-4,0.0025,9.415140932256112E-4-2.0881646094065567E-4i
9.1E-4,0.0025,9.684451481536192E-4-2.0433203133571323E-4i
9.2E-4,0.0025,9.94876525008407E-4-2.0002546939616926E-4i
9.3E-4,0.0025,0.0010207584218961422-1.9590335957467013E-4i
9.400000000000001E-4,0.0025,0.001046148398765538-1.9193980358199838E-4i
9.5E-4,0.0025,0.0010710503790288017-1.881261361039561E-4i
9.6E-4,0.0025,0.0010954297657268194-1.8445868678562783E-4i
9.7E-4,0.0025,0.0011192864245232368-1.8093226050856857E-4i
9.800000000000002E-4,0.0025,0.0011426642042394416-1.7752509746750132E-4i
9.9E-4,0.0025,0.001165543457600238-1.7424519215000157E-4i
0.001,0.0025,0.001187932123944431-1.7107509573186316E-4i
0.00101,0.0025,0.001209827108064608-1.680176779314871E-4i
0.00102,0.0025,0.0012312401702787741-1.6506151037809491E-4i
0.00103,0.0025,0.0012521806366262297-1.6220069596869778E-4i
0.0010400000000000001,0.0025,0.0012726531964011752-1.5943216585171597E-4i
0.0010500000000000002,0.0025,0.0012926607885148883-1.5675115201290484E-4i
